101N,101S,180
N04S,B16N,180
N04S,B16S,180
N04S,N04N,180
N04S,N05S,90
N05N,N04N,90
N05N,N05S,180
N05S,N05N,180
N05S,N06S,90
N06N,N05N,60
N06N,N05N,90
N06N,N06S,180
N06S,N06N,180
N06S,N07S,90
N07N,N06N,90
N07N,N07S,180
N07S,N07N,180
N07S,N08S,120
N08N,N07N,120
N08N,N08S,180
N08S,N08N,180
N08S,N09S,120
N09N,N08N,120
N09N,N08N,90
N09N,N09S,180
N09S,N09N,180
N09S,N10S,60
N10N,N09N,60
N10N,N10S,180
N10S,D43S,240
N10S,N10N,180
Q01N,639N,180
Q01N,639S,180
Q01N,M20N,180
Q01N,M20S,180
Q01N,Q01S,180
Q01N,R20N,240
Q01N,R20N,270
Q01N,R22N,120
Q01N,R23N,180
Q01N,R23S,180
Q01S,639N,180
Q01S,639S,180
Q01S,M20N,180
Q01S,M20S,180
Q01S,Q01N,180
Q01S,R23N,180
Q01S,R23S,180
Q01S,R30S,480
Q01S,R30S,510
Q01S,R30S,540
Q01S,R30S,570
Q01S,R30S,600
Q01S,R30S,630
Q01S,R30S,750
Q01S,R31S,660
Q01S,R31S,690
Q01S,R31S,720
Q01S,R31S,750
Q01S,R31S,780
Q01S,R31S,810
Q03N,Q04N,150
Q03N,Q04N,90
Q03S,B08S,120
Q04N,Q05N,120
Q04N,Q05N,90
Q04S,Q03S,120
Q04S,Q03S,150
Q05S,Q04S,120
R01N,R01S,180
R01S,R01N,180
R01S,R03S,90
R03N,R01N,120
R03N,R01N,90
R03N,R03S,0
R03S,R03N,0
R03S,R04S,60
R03S,R04S,90
R04N,R03N,60
R04N,R03N,90
R04N,R04S,180
R04S,R04N,180
R04S,R05S,90
R05N,R04N,120
R05N,R04N,90
R05N,R05S,180
R05S,R05N,180
R05S,R06S,120
R06N,R05N,120
R06N,R05N,90
R06N,R06S,180
R06S,R06N,180
R06S,R08S,60
R08N,R06N,60
R08N,R06N,90
R08N,R08S,180
R08S,R08N,180
R08S,R09S,120
R08S,R09S,150
R09N,718N,0
R09N,718S,0
R09N,R08N,120
R09N,R09S,180
R09S,718N,0
R09S,718S,0
R09S,R09N,180
R09S,R11S,270
R09S,R11S,300
R09S,R11S,330
R11N,629N,180
R11N,629S,180
R11N,B08N,300
R11N,B08S,300
R11N,G21N,330
R11N,G21N,360
R11N,G21N,390
R11N,R09N,270
R11N,R09N,300
R11N,R11S,0
R11S,629N,180
R11S,629S,180
R11S,B08N,300
R11S,B08S,300
R11S,R11N,0
R11S,R13S,120
R11S,R13S,90
R13N,R11N,120
R13N,R11N,90
R13N,R13S,180
R13S,R13N,180
R13S,R14S,150
R14N,B08N,150
R14N,R13N,150
R14N,R13N,180
R14N,R14S,180
R14S,R14N,180
R14S,R15S,120
R14S,R15S,90
R14S,R16S,150
R14S,R16S,180
R15N,R14N,120
R15N,R14N,90
R15N,R15S,180
R15S,R15N,180
R15S,R16S,90
R16N,127N,180
R16N,127S,180
R16N,725N,180
R16N,725S,180
R16N,902N,180
R16N,902S,180
R16N,A27N,300
R16N,A27S,300
R16N,R14N,150
R16N,R14N,180
R16N,R15N,120
R16N,R15N,90
R16N,R16S,0
R16S,127N,180
R16S,127S,180
R16S,725N,180
R16S,725S,180
R16S,902N,180
R16S,902S,180
R16S,A27N,300
R16S,A27S,300
R16S,R16N,0
R16S,R17S,120
R16S,R17S,150
R16S,R17S,90
R17N,D17N,180
R17N,D17S,180
R17N,R16N,120
R17N,R16N,90
R17N,R17S,0
R17S,D17N,180
R17S,D17S,180
R17S,R17N,0
R17S,R18S,60
R17S,R20S,150
R17S,R20S,180
R18N,R17N,60
R18N,R18S,180
R18S,R18N,180
R18S,R19S,60
R18S,R19S,90
R19N,R18N,60
R19N,R18N,90
R19N,R19S,180
R19S,R19N,180
R19S,R20S,120
R19S,R20S,90
R20N,635N,180
R20N,635S,180
R20N,L03N,180
R20N,L03S,180
R20N,R17N,150
R20N,R17N,180
R20N,R17N,210
R20N,R19N,120
R20N,R19N,90
R20N,R20S,0
R20S,635N,180
R20S,635S,180
R20S,L03N,180
R20S,L03S,180
R20S,Q01S,240
R20S,R20N,0
R20S,R21S,120
R20S,R21S,90
R21N,R20N,120
R21N,R20N,90
R21N,R21S,180
R21S,R21N,180
R21S,R22S,120
R21S,R22S,150
R21S,R22S,90
R22N,R21N,120
R22N,R21N,90
R22N,R22S,180
R22S,Q01S,120
R22S,R22N,180
R22S,R23S,120
R22S,R23S,90
R23N,639N,180
R23N,639S,180
R23N,M20N,300
R23N,M20S,300
R23N,Q01N,180
R23N,Q01S,180
R23N,R22N,90
R23N,R23S,180
R23S,639N,180
R23S,639S,180
R23S,M20N,300
R23S,M20S,300
R23S,Q01N,180
R23S,Q01S,180
R23S,R23N,180
R23S,R24S,150
R24N,R23N,150
R24N,R24S,180
R24S,R24N,180
R24S,R25S,120
R25N,228N,420
R25N,228S,420
R25N,A36N,420
R25N,A36S,420
R25N,E01N,240
R25N,E01S,240
R25N,R24N,120
R25N,R24N,90
R25S,228N,420
R25S,228S,420
R25S,A36N,420
R25S,A36S,420
R25S,E01N,240
R25S,E01S,240
R25S,R26S,120
R25S,R26S,60
R25S,R26S,90
R26N,R25N,60
R26N,R25N,90
R26N,R26S,180
R26S,R26N,180
R26S,R27S,120
R27N,140N,120
R27N,140S,120
R27N,R26N,120
R27N,R26N,90
R27N,R27S,180
R27S,140N,120
R27S,140S,120
R27S,R27N,180
R27S,R28S,210
R28N,232N,180
R28N,232S,180
R28N,423N,180
R28N,423S,180
R28N,R27N,210
R28N,R27N,240
R28N,R28S,180
R28S,232N,180
R28S,232S,180
R28S,423N,180
R28S,423S,180
R28S,R28N,180
R28S,R29S,120
R28S,R29S,150
R29N,A41N,90
R29N,A41S,90
R29N,R28N,120
R29N,R28N,90
R29N,R29S,180
R29S,A41N,90
R29S,A41S,90
R29S,R29N,180
R29S,R30S,120
R29S,R30S,90
R30N,D22N,480
R30N,D22N,510
R30N,D22N,540
R30N,Q01N,480
R30N,Q01N,510
R30N,Q01N,540
R30N,Q01N,600
R30N,Q01N,630
R30N,R29N,120
R30N,R29N,90
R30N,R30S,180
R30S,D24S,120
R30S,D24S,90
R30S,R30N,180
R30S,R31S,180
R30S,R31S,210
R31N,235N,180
R31N,235S,180
R31N,D22N,630
R31N,D22N,660
R31N,D22N,720
R31N,D22N,750
R31N,D24N,300
R31N,D24S,300
R31N,Q01N,630
R31N,Q01N,660
R31N,Q01N,690
R31N,Q01N,720
R31N,Q01N,750
R31N,R30N,180
R31N,R30N,210
R31N,R31S,0
R31S,235N,180
R31S,235S,180
R31S,D24N,300
R31S,D24S,300
R31S,R31N,0
R31S,R32S,120
R31S,R36S,330
R31S,R36S,360
R32N,R31N,120
R32N,R32S,180
R32S,R32N,180
R32S,R33S,90
R33N,F23N,180
R33N,F23S,180
R33N,R32N,120
R33N,R32N,90
R33N,R33S,180
R33S,F23N,180
R33S,F23S,180
R33S,R33N,180
R33S,R34S,120
R34N,R33N,120
R34N,R33N,90
R34N,R34S,180
R34S,R34N,180
R34S,R35S,90
R35N,R34N,90
R35N,R35S,180
R35S,R35N,180
R35S,R36S,90
R36N,R31N,300
R36N,R31N,330
R36N,R31N,360
R36N,R35N,120
R36N,R35N,90
R36N,R36S,0
R36S,B12S,240
R36S,R36N,0
R36S,R39S,120
R36S,R39S,150
R39N,R36N,150
R39N,R39S,180
R39S,R39N,180
R39S,R40S,90
R40N,R39N,90
R40N,R40S,180
R40S,R40N,180
R40S,R41S,90
R41N,R40N,90
R41N,R41S,0
R41S,N02S,180
R41S,R41N,0
R41S,R42S,120
R41S,R42S,150
R42N,R41N,120
R42N,R41N,150
R42N,R42S,180
R42S,R42N,180
R42S,R43S,60
R42S,R43S,90
R43N,R42N,90
R43N,R43S,180
R43S,R43N,180
R43S,R44S,120
R44N,R43N,120
R44N,R44S,180
R44S,R44N,180
R44S,R45S,120
R45N,R44N,120
R45N,R44N,90
R45N,R45S,180
R45S,R45N,180
S01N,A45N,180
S01N,A45S,180
S01N,S01S,180
S01S,A45N,180
S01S,A45S,180
S01S,S01N,180
S01S,S03S,120
S03N,S01N,120
S03N,S03S,180
S03S,S03N,180
S03S,S04S,90
S04N,239N,180
S04N,239S,180
S04N,S03N,120
S04N,S04S,180
S04S,239N,180
S04S,239S,180
S04S,D26S,180
S04S,S04N,180
S09N,S11N,180
S11N,S13N,120
S11S,S09S,180
S13N,S14N,120
S13S,S11S,120
S14N,S15N,120
S14S,S13S,120
S15N,S16N,120
S15S,S14S,120
S16N,S17N,120
S16S,S15S,120
S17N,S18N,120
S17S,S16S,120
S18N,S19N,120
S18S,S17S,120
S19N,S20N,120
S19S,S18S,120
S20N,S21N,120
S20S,S19S,120
S21N,S22N,120
S21S,S20S,120
S22N,S23N,120
S22N,S31N,780
S22S,S21S,120
S23N,S24N,60
S23S,S22S,120
S24N,S25N,120
S24S,S23S,60
S25N,S26N,120
S25S,S24S,120
S26N,S27N,120
S26S,S25S,120
S27N,S28N,180
S27S,S26S,120
S28N,S29N,120
S28S,S27S,180
S29N,S30N,120
S29S,S28S,120
S30N,S31N,180
S30S,S29S,120
S31S,S19S,960
S31S,S30S,180
